"year","council","income","activity","val"
2011,"Franklin District Council","Rates","Roading",3317
2011,"Franklin District Council","Regulatory income and petrol tax","Roading",87
2011,"Franklin District Council","Current grants, subsidies, and donations income","Roading",1583
2011,"Franklin District Council","Interest income","Roading",0
2011,"Franklin District Council","Dividend income","Roading",0
2011,"Franklin District Council","Sales and other operating income","Roading",210
2011,"Franklin District Council","Employee costs","Roading",185
2011,"Franklin District Council","Depreciation and amortisation","Roading",2902
2011,"Franklin District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Franklin District Council","Interest expenditure","Roading",0
2011,"Franklin District Council","Purchases and other operating expenditure","Roading",751
2010,"Franklin District Council","Rates","Roading",11014
2010,"Franklin District Council","Regulatory income and petrol tax","Roading",358
2010,"Franklin District Council","Current grants, subsidies, and donations income","Roading",4564
2010,"Franklin District Council","Interest income","Roading",0
2010,"Franklin District Council","Dividend income","Roading",0
2010,"Franklin District Council","Sales and other operating income","Roading",186
2010,"Franklin District Council","Employee costs","Roading",444
2010,"Franklin District Council","Depreciation and amortisation","Roading",8258
2010,"Franklin District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Franklin District Council","Interest expenditure","Roading",0
2010,"Franklin District Council","Purchases and other operating expenditure","Roading",8794
2009,"Franklin District Council","Rates","Roading",10145
2009,"Franklin District Council","Regulatory income and petrol tax","Roading",352
2009,"Franklin District Council","Current grants, subsidies, and donations income","Roading",4734
2009,"Franklin District Council","Interest income","Roading",0
2009,"Franklin District Council","Dividend income","Roading",0
2009,"Franklin District Council","Sales and other operating income","Roading",612
2009,"Franklin District Council","Employee costs","Roading",443
2009,"Franklin District Council","Depreciation and amortisation","Roading",7917
2009,"Franklin District Council","Current grants, subsidies, and donations expenditure","Roading",5
2009,"Franklin District Council","Interest expenditure","Roading",0
2009,"Franklin District Council","Purchases and other operating expenditure","Roading",8771
2011,"Franklin District Council","Rates","Transportation",0
2011,"Franklin District Council","Regulatory income and petrol tax","Transportation",0
2011,"Franklin District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Franklin District Council","Interest income","Transportation",0
2011,"Franklin District Council","Dividend income","Transportation",0
2011,"Franklin District Council","Sales and other operating income","Transportation",0
2011,"Franklin District Council","Employee costs","Transportation",0
2011,"Franklin District Council","Depreciation and amortisation","Transportation",0
2011,"Franklin District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Franklin District Council","Interest expenditure","Transportation",0
2011,"Franklin District Council","Purchases and other operating expenditure","Transportation",0
2010,"Franklin District Council","Rates","Transportation",0
2010,"Franklin District Council","Regulatory income and petrol tax","Transportation",0
2010,"Franklin District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Franklin District Council","Interest income","Transportation",0
2010,"Franklin District Council","Dividend income","Transportation",0
2010,"Franklin District Council","Sales and other operating income","Transportation",0
2010,"Franklin District Council","Employee costs","Transportation",0
